１．ワイシャツ    ワイシャツをきる     ワイシャツをかう        ワイシャツをあらう
２０７．鳴く（なく）  犬がなく            鳥が鳴く                　猫が鳴く
２０８．ふく        風が吹いている       笛を吹く                　風船を吹く
２０９．動物（どうぶつ）　犬は動物です     動物園にいきます            彼は動物がすき
２１０．咲く（さく）  花が咲く            桜が咲く                　春に咲く
２１１．広い（ひろい）部屋がひろい       　公園は広い                道が広い
２１２．兄弟（きょうだい）　彼は私の兄弟です　兄弟は二人います         彼女は兄弟がいません
２１３．家族（かぞく） 私の家族は四人です（よにんです）　彼は家族と一緒に住んでいます     家族旅行はたのしい（りょこうはたのしい）
２１４．おばあさんは  おばあさんは優しい（やさしい） おばあさんが料理する  おばあさんに会いたい（あいたい）
２１５．花瓶（かびん）　これは花瓶です     かびんに花を入れる       花瓶が割れた（われた）
２１６．二人（ふたり） ふたりで食べます    二人は友達です           二人で旅行します
２１７．だんな     かれはだんなです    　だんなは働いています       だんなを待っています
２１８．奥さん（おくさん）　奥さんは料理が上手です（じょうず）　奥さんは先生です       奥さんは病院にいます
２１９．本棚（ほんだな）　本棚に本を置く（おく）　本棚を買う（かう）　本棚を整理する（せいりする）
２２０．お兄さん（おにいさん）　お兄さんは学生です   お兄さんは優しい    お兄さんは料理が上手
２２１．ベット     ベットで寝る         ベットを買う             ベットを整理する（せいりする）
２２２．家庭（かてい）　私のかていは小さい　彼は家庭を大切にする （たいせつ）　家庭料理が好きです
２２３．両親（りょうしん）　両親は医者です（いしゃ）　かれの両親に会いました　　両親が旅行に行きます
２２４．叔母さん（おばさん）おばさん、こんにちわ     おばさんは料理が上手     おばさんに会いに行く
２２５．ストーブ        部屋にストーブがある      ストーブをつけてください    ストーブであたたをとる
２２６．ペット       　犬はペットです            ペットを飼っていますか（かって）　ペットショップに行きます
２２７．お父さん（おとうさん）　お父さんは仕事中です（しごとちゅう）　おとうさんはしんぶんを読んでいます（読んでいます）　お父さんは料理が上手です
２２８．お母さん　　　　お母さん、ありがとう      お母さん、おはよう       お母さん    お元気ですか
２２９．鍵           かぎをなくした         　鍵をかける              鍵をあげる
２３０．冷蔵庫（れいぞうこ）  冷蔵庫を開ける     冷蔵庫に入れる         冷蔵庫で冷やす（ひやす）
２３１．女の子（おんなのこ）　彼女は可愛い女の子です  女の子が公園で遊んでいる（あそんでいる）    女の子たちは友達です
２３２．結婚（けっこん）　彼女と結婚する        結婚式に出席する（けっこんしきにしゅっせきする）　結婚記念日を祝う（けっこんきねんびをいわう）
２３３．いす         椅子がある            いすがかいました        椅子に座ってください
２３４．友達（ともだち）彼は私の友達です       友達と映画を見ました   　友達がたくさんです
２３５．大人（おとな） 彼は大人です          大人はしごとがあります     おとなはお酒を飲めます
２３６．子供          こどもが遊んでいる   こどもたちは学校にいく     かれは子供が三人います
２３７．テープレコーダー    テープレコーダーを使う     テープレコーダーを買う        テープレコーダーを壊れた（こわれた）
２３８．伯父（おじ）    伯父は医者です       伯父に会いました        おじは料理が上手です
２３９．台所（だいどころ）   台所で料理する   台所がきれいだ          台所にいく
２４０．男の子（おとこのこ）　かれはおとこのこです　男の子は走っています（はしっています）   男の子が泣いている（ないている）
２４１．電気（でんき）　　電気を消す（けす）  　電気がつく  　　　　　　電気代が高い（でんきだい）
２４２．お姉さん（おねえさん）　お姉さんはきれいです  お姉さんは医者です   お姉さんは料理が上手です
２４３．クラス     私のクラスは大きいです    彼はクラスで一番です       クラスで友達がたくさんいます
２４４．宿題（しゅくだい）　  宿題をします      宿題が多い（おおい）　宿題を忘れた（わすれた）　
２４５．図書館（としょかん）  図書館で勉強する　　図書館に行く        図書館で本を借りる（かりる）
２４６．勉強          勉強する            勉強が好き           勉強が必要（ひつよう）
２４７．大学（だいがく）彼は大学に行きます    私の大学は東京です     彼女は大学生です
２４８．作文（さくぶん）　作文を書く          作文の宿題        　　作文コンテスト
２４９．習う（ならう）　　にほんごを習う      ピアノを習う          料理を習う
２５０．教室（きょうしつ）　教室に行きます　　きょうしつで勉強します  　教室は広いです
２５１．学校（がっこう）　学校に行く        学校が好き             学校で勉強する
２５２．なつやすみ   　　夏休みは楽しい     夏休みに旅行する      夏休みは長い（ながい）
２５３．練習（れんしゅう）　毎日練習します   練習は必要です     　　彼は練習中です
２５４．生徒（せいと）　彼は生徒です        生徒たちは勉強します    あたらしい生徒が来ました
２５５．ノート        ノートを買う       ノートを開く（ひらく）    ノートに書く（かく）
２５６．教える（おしえる）   先生が教えまます    彼は私にえいごを教える     彼女は子供に数学を教える（すうがくをおしえる）
２５７．授業（じゅぎょう）　今日は授業がある  授業は終わりました（おわりました）   授業が好きです
２５８．学生（がくせい）　彼は学生です       学生は勉強します        学生が多いです
２５９．留学生（りゅうがくせい）　彼は留学生です    留学生がおおいです       留学生と話す
２６０．覚える（おぼえる）名前を覚える       歌詞を覚える（かしをおぼえる）   単語を覚える（たんごをおぼえる）
２６１．テスト         テストを受ける（うける）　テストを結果（けっか）　   テストが難しい（むずかしい）
２６２．会社（かいしゃ）　彼は会社で働く（はたらく）　私の会社は大きい     彼女は会社を辞めた（やめた）
２６３．警官（けいかん）  警官が来た（きた） 　　かれは警官です　　　　　警官に助けてもらった（にたすけてもらった）
２６４．仕事（しごと）　　仕事が忙しい        仕事を探す（さがす）     仕事が終わった（おわった）
２６５．勤める（つとめる）彼は銀行で務める     わたしは会社に勤める     彼女は学校で勤める
２６６．働く（はたらく）  彼は働いています    私は毎日働く            彼女は病院で働く
２６７．忙しい（いそがしい）  今日はいそがしい     かれはいつも忙しい    週末も忙しい
２６８．三日（みっか）　　三日後に会いましょう（みっかごにあいましょう）　三日で仕事が終わります　　三日間旅行します（みっかかん）
２６９．誕生日（たんじょうび）　今日は誕生日です        彼の誕生日は五月です            誕生日のプレゼントをもらいました
２７０．月曜日（げつようび）　月曜日は忙しい           月曜日にあいましょう             月曜日は休みです
２７１．一昨日（おととい）   一昨日雨だった         　一昨日、友達に会った（ともだちにあった）　一昨日、映画を見た
２７２．来月（らいげつ）    らいげつ、とうきょうにいきます     らいげつ、試験があります        来月、誕生日です
２７３．水曜日（すいようび）  今日は水曜日です        水曜日に会いましょう      水曜日は雨が降る
２７４．午前（ごぜん）       午前中に会いましょう     午前十時です            午前の授業を終わりました
２７５．来週（らいしゅう）   来週、試験がある        来週、旅行に行く        らいしゅう、友達に会う（あう）
２７６．毎月（まいつき）    毎月会います           毎月報告します（ほうこくします）   毎月貯金します（ちょきんします）
２７７．いつ              いつきますか          いつ寝ますか                   いつ行きますか
２７８．一昨年（おととし）   おととし、東京に行った 　おととし、彼は結婚した        一昨年、新しい仕事を始めた（はじめた）
２７９．日曜日（にちようび）　今日は日曜日です     　日曜日に会いましょう         日曜日は休みです
２８０．五日（いつか）　    五日後に会いましょう  　五日間旅行します（いつかかん）　いつかで仕事が終わります
２８１．先月（せんげつ）    先月、東京に行った      先月の給料は少なかった（きゅうりょうはすくなかった）　先月、友達と映画を見た
２８２．金曜日            きょうはきんようびです  きんようびにあいましょう        金曜日は忙しい
２８３．火曜日（かようび）　きょうはかようびです    かようびにあいましょう         火曜日は雨です
２８４．時々（ときどき）　　時々、映画を見ます     　時々　雨が降る            　ときどき外食します（がいしょく）
２８５．土曜日（どようび）　土曜日は休みです      　土曜日に買い物に行きます      彼は土曜日に来ます
２８６．九日（ここのか）　　九日は休みです         九日にあいましょう             九日に出発します（しゅっぱつします）
２８７．午後（ごご）      午後三時です          午後勉強します             　　午後会議があります（かいぎ）
２８８．毎週（まいしゅう）　毎週日曜日に会います    毎週金曜日はパーティーです       毎週水曜日は映画を見ます
２８９．終わる（おわる）   授業が終わる（じゅぎょう）映画が終わる                  パーティーが終わる
２９０．今週（こんしゅう）　今週は忙しいです      今週の金曜日にあいましょう       今週の天気はいいです
２９１．遅い（おそい）     彼は遅いです         バスが遅い                    遅い朝ご飯
２９２．来年（らいねん）　　来年、にほんにいきます らいねんの計画を立てます（けいかくをたてます）　来年はもっと勉強します
２９３．去年（きょねん）　　去年は楽しかった      去年、東京に行った              去年の誕生日は忘れた
２９４．毎年（まいねん）　　毎年　花火がある（はなび）　　まいねん、りょこうに行く    毎年　誕生日を祝う（いわう）
２９５．昨日（きのう）     昨日は雨がだった      昨日は忙しかった               昨日は友達に会った
２９６．四日（よっか）     四日ごに会いましょう  　四日間旅行します              四日で仕事を終わります
２９７．今日（きょう）　　　今日は暑いです       　今日は日曜日です              今日は雨が降ります
２９８．今年（ことし）     今年は２０２２年です  　今年の夏は暑いです          　今年の目標は瘦せること（もくひょうはやせること）
２９９．明日（あした）     明日は雨です          明日学校にいきます           明日は休みです
３００．明後日（あさって）  明後日会いましょう     明後日雨が降る            　明後日テストがある
３０１．昨夜（さくや）　　　昨夜は寒かった（さむかった）　昨夜は雨が降った       昨夜は遅く寝た（おそくねた）
３０２．早い（はやい）     彼は早いです      　　早い朝ご飯                 早いバスに乗る（のる）
３０３．夕方（ゆうがた）    ゆうがたに会いましょう 夕方は涼しい（すずしい）      夕方散歩する（さんぽ）
３０４．木曜日（もくようび） 今日は木曜日です     木曜日に会いましょう          木曜日は雨です
３０５．六日（むいか）     六日は木曜日です      六日に会いましょう            六日から旅行します
３０６．時計（とけい）     時計を見る           時計がおそい          　　　あたらしいとけい
３０７．八日（ようか）     ようかにあいましょう  　八日は休みです            ようかに出発します（しゅっぱつします）
３０８．一月（いちがつ）　  一月は寒いです        一月に生まれました（うまれました） 一月から始めます
３０９．再来年（さらいねん）  さらいねん、東京に行く     さらいねん、大学生を卒業する（そつぎょうする） さらいねん、結婚する予定です（よてい）
３１０．二十日（はつか）    今日は二十日です      二十日に会いましょう        二十日は休みです
３１１．十日（とおか）     十日後にあいましょう  　十日間旅行します           十日で仕事を終わります
３１２．二日（ふつか）     二日後に会いましょう  　二日で終わる              二日間旅行します
３１３．カレンダー       　カレンダーを見てください   カレンダーに予定を書く   カレンダーを買った
